Date,"USD/CHF(Open, Ask)","USD/CHF(High, Ask)","USD/CHF(Low, Ask)","USD/CHF(Close, Ask)","USD/CHF(Open, Bid)*","USD/CHF(High, Bid)*","USD/CHF(Low, Bid)*","USD/CHF(Close, Bid)*"
09/06/2016 22:47:00,0.96940,0.96944,0.96939,0.96944,0.96934,0.96938,0.96933,0.96937
09/06/2016 22:46:00,0.96934,0.96940,0.96934,0.96940,0.96927,0.96935,0.96927,0.96934
09/06/2016 22:45:00,0.96946,0.96946,0.96931,0.96934,0.96941,0.96941,0.96925,0.96927
09/06/2016 22:44:00,0.96934,0.96946,0.96934,0.96946,0.96928,0.96941,0.96925,0.96941
09/06/2016 22:43:00,0.96937,0.96937,0.96933,0.96934,0.96931,0.96931,0.96926,0.96928
09/06/2016 22:42:00,0.96946,0.96947,0.96935,0.96937,0.96940,0.96941,0.96929,0.96931
09/06/2016 22:41:00,0.96941,0.96947,0.96941,0.96946,0.96936,0.96942,0.96934,0.96940
09/06/2016 22:40:00,0.96928,0.96944,0.96928,0.96941,0.96923,0.96939,0.96922,0.96936
09/06/2016 22:39:00,0.96933,0.96937,0.96911,0.96928,0.96927,0.96932,0.96909,0.96923
09/06/2016 22:38:00,0.96931,0.96936,0.96929,0.96933,0.96925,0.96931,0.96923,0.96927
09/06/2016 22:37:00,0.96934,0.96940,0.96928,0.96931,0.96928,0.96934,0.96923,0.96925
09/06/2016 22:36:00,0.96943,0.96943,0.96931,0.96934,0.96937,0.96937,0.96925,0.96928
09/06/2016 22:35:00,0.96943,0.96945,0.96943,0.96943,0.96938,0.96938,0.96937,0.96937
09/06/2016 22:34:00,0.96946,0.96947,0.96943,0.96943,0.96940,0.96940,0.96937,0.96938
09/06/2016 22:33:00,0.96944,0.96949,0.96943,0.96946,0.96939,0.96943,0.96937,0.96940
09/06/2016 22:32:00,0.96954,0.96956,0.96938,0.96944,0.96948,0.96948,0.96933,0.96939
