Date,"AUD/USD(Open, Ask)","AUD/USD(High, Ask)","AUD/USD(Low, Ask)","AUD/USD(Close, Ask)","AUD/USD(Open, Bid)*","AUD/USD(High, Bid)*","AUD/USD(Low, Bid)*","AUD/USD(Close, Bid)*"
09/06/2016 23:52:00,0.76745,0.76749,0.76745,0.76749,0.76742,0.76745,0.76741,0.76745
09/06/2016 23:51:00,0.76749,0.76749,0.76742,0.76745,0.76745,0.76746,0.76739,0.76742
09/06/2016 23:50:00,0.76742,0.76757,0.76742,0.76749,0.76738,0.76752,0.76738,0.76745
09/06/2016 23:49:00,0.76747,0.76749,0.76741,0.76742,0.76744,0.76745,0.76736,0.76738
09/06/2016 23:48:00,0.76748,0.76752,0.76747,0.76747,0.76744,0.76748,0.76744,0.76744
09/06/2016 23:47:00,0.76762,0.76763,0.76747,0.76748,0.76758,0.76758,0.76744,0.76744
09/06/2016 23:46:00,0.76770,0.76770,0.76759,0.76762,0.76768,0.76768,0.76755,0.76758
09/06/2016 23:45:00,0.76764,0.76776,0.76762,0.76770,0.76760,0.76773,0.76757,0.76768
09/06/2016 23:44:00,0.76762,0.76770,0.76759,0.76764,0.76757,0.76766,0.76754,0.76760
09/06/2016 23:43:00,0.76755,0.76766,0.76750,0.76762,0.76751,0.76761,0.76746,0.76757
09/06/2016 23:42:00,0.76738,0.76757,0.76738,0.76755,0.76734,0.76752,0.76734,0.76751
09/06/2016 23:41:00,0.76724,0.76750,0.76721,0.76738,0.76720,0.76746,0.76716,0.76734
09/06/2016 23:40:00,0.76740,0.76748,0.76722,0.76724,0.76735,0.76744,0.76719,0.76720
09/06/2016 23:39:00,0.76730,0.76741,0.76727,0.76740,0.76726,0.76737,0.76724,0.76735
09/06/2016 23:38:00,0.76740,0.76751,0.76728,0.76730,0.76736,0.76747,0.76724,0.76726
09/06/2016 23:37:00,0.76752,0.76752,0.76738,0.76740,0.76748,0.76748,0.76733,0.76736
09/06/2016 23:36:00,0.76757,0.76759,0.76751,0.76752,0.76753,0.76756,0.76747,0.76748
09/06/2016 23:35:00,0.76752,0.76757,0.76749,0.76757,0.76748,0.76754,0.76744,0.76753
