Date,"EUR/USD(Open, Ask)","EUR/USD(High, Ask)","EUR/USD(Low, Ask)","EUR/USD(Close, Ask)","EUR/USD(Open, Bid)*","EUR/USD(High, Bid)*","EUR/USD(Low, Bid)*","EUR/USD(Close, Bid)*"
09/06/2016 23:25:00,1.12571,1.12577,1.12569,1.12569,1.12568,1.12574,1.12565,1.12566
09/06/2016 23:24:00,1.12573,1.12577,1.12570,1.12571,1.12569,1.12576,1.12566,1.12568
09/06/2016 23:23:00,1.12578,1.12578,1.12572,1.12573,1.12576,1.12576,1.12568,1.12569
09/06/2016 23:22:00,1.12571,1.12578,1.12569,1.12578,1.12569,1.12576,1.12566,1.12576
09/06/2016 23:21:00,1.12567,1.12577,1.12564,1.12571,1.12565,1.12576,1.12563,1.12569
09/06/2016 23:20:00,1.12567,1.12569,1.12566,1.12567,1.12564,1.12566,1.12564,1.12565
09/06/2016 23:19:00,1.12561,1.12567,1.12561,1.12567,1.12559,1.12564,1.12559,1.12564
09/06/2016 23:18:00,1.12558,1.12561,1.12556,1.12561,1.12554,1.12559,1.12554,1.12559
09/06/2016 23:17:00,1.12555,1.12558,1.12553,1.12558,1.12554,1.12554,1.12549,1.12554
09/06/2016 23:16:00,1.12552,1.12557,1.12552,1.12555,1.12548,1.12554,1.12548,1.12554
09/06/2016 23:15:00,1.12556,1.12557,1.12548,1.12552,1.12553,1.12553,1.12544,1.12548
09/06/2016 23:14:00,1.12562,1.12563,1.12552,1.12556,1.12558,1.12560,1.12549,1.12553
09/06/2016 23:13:00,1.12559,1.12564,1.12558,1.12562,1.12556,1.12561,1.12555,1.12558
09/06/2016 23:12:00,1.12563,1.12566,1.12559,1.12559,1.12559,1.12562,1.12556,1.12556
09/06/2016 23:11:00,1.12562,1.12563,1.12559,1.12563,1.12558,1.12560,1.12556,1.12559
09/06/2016 23:10:00,1.12577,1.12578,1.12556,1.12562,1.12573,1.12575,1.12554,1.12558
09/06/2016 23:09:00,1.12574,1.12580,1.12565,1.12577,1.12572,1.12576,1.12561,1.12573
09/06/2016 23:08:00,1.12560,1.12581,1.12560,1.12574,1.12555,1.12578,1.12555,1.12572
09/06/2016 23:07:00,1.12553,1.12560,1.12553,1.12560,1.12549,1.12556,1.12549,1.12555
09/06/2016 23:06:00,1.12556,1.12558,1.12552,1.12553,1.12553,1.12554,1.12548,1.12549
09/06/2016 23:05:00,1.12566,1.12566,1.12553,1.12556,1.12564,1.12564,1.12550,1.12553
09/06/2016 23:04:00,1.12564,1.12572,1.12554,1.12566,1.12559,1.12567,1.12551,1.12564
09/06/2016 23:03:00,1.12564,1.12573,1.12563,1.12564,1.12561,1.12568,1.12559,1.12559
09/06/2016 23:02:00,1.12548,1.12568,1.12548,1.12564,1.12545,1.12564,1.12545,1.12561
09/06/2016 23:01:00,1.12541,1.12550,1.12541,1.12548,1.12538,1.12547,1.12537,1.12545
09/06/2016 23:00:00,1.12533,1.12542,1.12532,1.12541,1.12529,1.12540,1.12528,1.12538
09/06/2016 22:59:00,1.12537,1.12541,1.12533,1.12533,1.12533,1.12537,1.12529,1.12529
09/06/2016 22:58:00,1.12537,1.12538,1.12532,1.12537,1.12534,1.12534,1.12528,1.12533
09/06/2016 22:57:00,1.12537,1.12537,1.12536,1.12537,1.12533,1.12534,1.12532,1.12534
09/06/2016 22:56:00,1.12527,1.12538,1.12524,1.12537,1.12523,1.12534,1.12521,1.12533
09/06/2016 22:55:00,1.12538,1.12538,1.12524,1.12527,1.12535,1.12535,1.12522,1.12523
09/06/2016 22:54:00,1.12532,1.12543,1.12530,1.12538,1.12529,1.12539,1.12527,1.12535
09/06/2016 22:53:00,1.12523,1.12535,1.12523,1.12532,1.12519,1.12532,1.12519,1.12529
09/06/2016 22:52:00,1.12524,1.12526,1.12521,1.12523,1.12523,1.12523,1.12519,1.12519
09/06/2016 22:51:00,1.12523,1.12527,1.12523,1.12524,1.12519,1.12524,1.12519,1.12523
09/06/2016 22:50:00,1.12524,1.12527,1.12523,1.12523,1.12520,1.12524,1.12519,1.12519
09/06/2016 22:49:00,1.12532,1.12532,1.12522,1.12524,1.12528,1.12528,1.12518,1.12520
09/06/2016 22:48:00,1.12532,1.12533,1.12530,1.12532,1.12529,1.12530,1.12527,1.12528
09/06/2016 22:47:00,1.12537,1.12538,1.12532,1.12532,1.12533,1.12534,1.12529,1.12529
09/06/2016 22:46:00,1.12544,1.12544,1.12533,1.12537,1.12541,1.12542,1.12530,1.12533
09/06/2016 22:45:00,1.12529,1.12544,1.12529,1.12544,1.12525,1.12541,1.12525,1.12541
09/06/2016 22:44:00,1.12537,1.12538,1.12529,1.12529,1.12535,1.12535,1.12524,1.12525
09/06/2016 22:43:00,1.12528,1.12538,1.12528,1.12537,1.12524,1.12535,1.12524,1.12535
09/06/2016 22:42:00,1.12525,1.12529,1.12524,1.12528,1.12520,1.12525,1.12520,1.12524
